"Date","Total","Men, 20 years and over","Women, 20 years and over","16 to 19 years old","White","Black or African American","Asian","Hispanic or Latino",
"Jan 2015","5.7","5.3","5.0","18.5","4.9","10.3","4.0","6.7",
"Feb 2015","5.5","5.2","4.9","16.9","4.7","10.1","4.0","6.8",
"Mar 2015","5.4","5.1","4.9","17.5","4.8","9.9","3.2","6.8",
"Apr 2015","5.4","5.0","5.0","17.2","4.7","9.7","4.4","6.8",
"May 2015","5.6","5.2","5.1","17.8","4.8","10.3","4.1","6.8",
"Jun 2015","5.3","4.8","4.7","18.0","4.6","9.7","3.9","6.7",
"Jul 2015","5.2","4.8","4.8","16.4","4.5","9.1","3.9","6.9",
"Aug 2015","5.1","4.7","4.6","16.9","4.4","9.4","3.4","6.6",
"Sep 2015","5.0","4.7","4.6","16.5","4.4","9.3","3.5","6.2",
"Oct 2015","5.0","4.7","4.6","15.9","4.4","9.0","3.5","6.3",
"Nov 2015","5.1","4.8","4.6","15.3","4.4","9.4","3.9","6.4",
"Dec 2015","5.0","4.6","4.5","16.2","4.4","8.5","4.1","6.2",
"Jan 2016","4.8","4.3","4.5","15.9","4.2","8.5","3.6","5.9",
"Feb 2016","4.9","4.4","4.5","15.4","4.2","8.6","3.8","5.5",
"Mar 2016","5.0","4.5","4.7","16.0","4.3","8.9","3.9","5.6",
"Apr 2016","5.1","4.7","4.6","16.1","4.4","8.8","3.8","6.2",
"May 2016","4.8","4.4","4.3","15.9","4.2","8.2","4.1","5.7",
"Jun 2016","4.9","4.5","4.4","16.0","4.3","8.7","3.6","6.0",
"Jul 2016","4.8","4.7","4.1","15.2","4.2","8.2","3.8","5.4",
"Aug 2016","4.9","4.5","4.4","15.7","4.4","8.0","4.1","5.6",
"Sep 2016","5.0","4.7","4.4","16.1","4.4","8.5","3.8","6.2",
"Oct 2016","4.9","4.6","4.4","15.8","4.4","8.5","3.4","5.7",
"Nov 2016","4.7","4.4","4.3","15.5","4.2","8.2","3.1","5.6",
"Dec 2016","4.7","4.4","4.3","14.9","4.2","8.0","2.7","5.8",
"Jan 2017","4.7","4.3","4.3","14.6","4.2","7.5","3.6","5.8",
"Feb 2017","4.6","4.2","4.2","14.6","4.0","8.0","3.5","5.6",
"Mar 2017","4.4","4.2","4.0","13.4","3.8","7.8","3.2","5.0",
"Apr 2017","4.4","3.9","4.1","14.4","3.9","7.7","3.3","5.2",
"May 2017","4.4","3.9","4.1","14.2","3.7","7.7","3.6","5.2",
"Jun 2017","4.3","3.9","3.9","13.6","3.8","6.9","3.7","5.0",
"Jul 2017","4.3","4.0","3.9","13.2","3.8","7.3","3.7","5.1",
"Aug 2017","4.4","4.1","4.0","13.9","3.9","7.7","3.9","5.1",
"Sep 2017","4.3","3.9","3.9","12.9","3.7","7.2","3.6","5.1",
"Oct 2017","4.2","3.9","3.7","14.0","3.6","7.6","3.0","5.0",
"Nov 2017","4.2","3.8","3.7","16.2","3.7","7.5","3.1","4.9",
"Dec 2017","4.1","3.8","3.8","13.6","3.7","6.7","2.6","5.0",
"Jan 2018","4.0","3.7","3.6","13.8","3.5","7.5","2.9","4.9",
"Feb 2018","4.1","3.6","3.7","14.4","3.6","6.8","3.0","4.9",
"Mar 2018","4.0","3.6","3.7","13.2","3.5","6.7","3.1","4.9",
"Apr 2018","4.0","3.7","3.6","12.7","3.6","6.4","2.9","4.8",
"May 2018","3.8","3.6","3.4","13.1","3.5","5.9","2.2","4.8",
"Jun 2018","4.0","3.7","3.6","12.6","3.5","6.4","3.2","4.5",
"Jul 2018","3.8","3.4","3.6","12.9","3.4","6.5","3.0","4.5",
"Aug 2018","3.8","3.5","3.5","12.8","3.4","6.3","2.9","4.7",
"Sep 2018","3.7","3.5","3.3","12.3","3.3","6.1","3.5","4.6",
"Oct 2018","3.8","3.6","3.4","12.1","3.4","6.5","3.1","4.4",
"Nov 2018","3.8","3.4","3.5","12.4","3.4","6.1","2.8","4.7",
"Dec 2018","3.9","3.6","3.5","12.6","3.5","6.6","3.3","4.4",
"Jan 2019","4.0","3.6","3.6","13.2","3.5","7.0","3.0","4.8",
"Feb 2019","3.8","3.4","3.4","13.8","3.2","7.2","3.2","4.2",
"Mar 2019","3.8","3.5","3.4","12.7","3.3","6.7","3.0","4.7",
"Apr 2019","3.7","3.4","3.2","13.1","3.2","6.7","2.3","4.2",
"May 2019","3.6","3.3","3.3","12.9","3.2","6.1","2.6","4.2",
"Jun 2019","3.6","3.3","3.3","12.6","3.3","5.8","2.0","4.3",
"Jul 2019","3.7","3.4","3.3","12.6","3.4","5.7","2.8","4.5",
"Aug 2019","3.6","3.4","3.2","12.3","3.4","5.3","2.8","4.1",
"Sep 2019","3.5","3.3","3.1","12.2","3.2","5.3","2.5","3.9",
"Oct 2019","3.6","3.4","3.2","11.9","3.2","5.5","2.9","4.1",
